"iso3c","date","pop_without_urb","pop_without_rur"
"EAS",2000,11949032,148137720
"EAS",2001,13183314,129886322
"EAS",2002,13054242,131847043
"EAS",2003,10531204,130972145
"EAS",2004,12744170,114387647
"EAS",2005,12448969,122775842
"EAS",2006,11607414,102337153
"EAS",2007,9560328,104999346
"EAS",2008,9175585,94379304
"EAS",2009,7338900,84549539
"EAS",2010,6512031,74478250
"EAS",2011,6056455,65475355
"EAS",2012,6194873,61545142
"EAS",2013,5614199,57997480
"EAS",2014,5368933,55514926
"EAS",2015,4527090,50131958
"EAS",2016,3928166,49865995
"EAS",2017,3823930,35495246
"EAS",2018,3515499,37472485
"EAS",2019,3241121,33664034
"EAS",2020,3519616,35986689
"EAS",2021,2673473,28904051
"LCN",2000,6295065,36788804
"LCN",2001,7431638,33069297
"LCN",2002,6982241,32517532
"LCN",2003,7656591,31900706
"LCN",2004,6670010,30729950
"LCN",2005,6657296,29392117
"LCN",2006,5818783,26543541
"LCN",2007,5502245,25917383
"LCN",2008,4454716,23015735
"LCN",2009,4557622,22192823
"LCN",2010,3843830,20389917
"LCN",2011,3536320,19067827
"LCN",2012,3205555,17353969
"LCN",2013,2900629,16127108
"LCN",2014,2940795,15284356
"LCN",2015,3097481,13707174
"LCN",2016,2613662,8499160
"LCN",2017,2455616,11868007
"LCN",2018,2474119,11735469
"LCN",2019,2072403,10672758
"LCN",2020,2302876,5067446
"LCN",2021,2409353,4272292
"MEA",2000,2372527,21954467
"MEA",2001,2488674,21688829
"MEA",2002,2477986,22444155
"MEA",2003,2376431,20222213
"MEA",2004,2233745,21235287
"MEA",2005,2371911,19163363
"MEA",2006,1237294,13857723
"MEA",2007,2346478,19366538
"MEA",2008,1833870,18042596
"MEA",2009,1918955,17921887
"MEA",2010,1039094,15224959
"MEA",2011,893849,15664921
"MEA",2012,1126962,17784544
"MEA",2013,767703,10300441
"MEA",2014,897929,12736450
"MEA",2015,1402950,12475948
"MEA",2016,1162888,11581457
"MEA",2017,1030823,7808039
"MEA",2018,2158609,4087695
"MEA",2019,1114845,10475066
"MEA",2020,1100992,10232187
"MEA",2021,1117601,10128616
"RESTOFWORLD",2000,3733534,4085307
"RESTOFWORLD",2001,3732779,3796757
"RESTOFWORLD",2002,3696953,3468740
"RESTOFWORLD",2003,3709639,3263173
"RESTOFWORLD",2004,3680305,3145291
"RESTOFWORLD",2005,3495415,2853961
"RESTOFWORLD",2006,3457970,2740802
"RESTOFWORLD",2007,3150096,2487750
"RESTOFWORLD",2008,2919103,2327133
"RESTOFWORLD",2009,2562457,2087653
"RESTOFWORLD",2010,1846253,1240759
"RESTOFWORLD",2011,1625865,1359839
"RESTOFWORLD",2012,527775,1026848
"RESTOFWORLD",2013,452894,897479
"RESTOFWORLD",2014,370307,737884
"RESTOFWORLD",2015,5578411,1954678
"RESTOFWORLD",2016,1190824,430594
"RESTOFWORLD",2017,1110281,202825
"RESTOFWORLD",2018,120554,145544
"RESTOFWORLD",2019,978912,72507
"RESTOFWORLD",2020,958156,37100
"RESTOFWORLD",2021,949868,75428
"SAS",2000,42069421,540951131
"SAS",2001,42928974,529192148
"SAS",2002,42111467,525879080
"SAS",2003,41398662,505580889
"SAS",2004,41940722,523457964
"SAS",2005,39297598,473525598
"SAS",2006,37268876,480496123
"SAS",2007,36773781,438185469
"SAS",2008,33726282,410556265
"SAS",2009,24575684,405625710
"SAS",2010,31379338,381988539
"SAS",2011,26330509,344332047
"SAS",2012,22961217,327712923
"SAS",2013,22961432,294464919
"SAS",2014,18879416,263832216
"SAS",2015,16558123,218083302
"SAS",2016,12837052,186409091
"SAS",2017,7305226,144258676
"SAS",2018,7340022,91685827
"SAS",2019,3444591,82808508
"SAS",2020,7014970,63204154
"SAS",2021,707548,20449651
"SSF",2000,80892106,405546477
"SSF",2001,83902986,403526511
"SSF",2002,84574163,406708491
"SSF",2003,85524012,418173916
"SSF",2004,88104582,432184540
"SSF",2005,89368935,442252364
"SSF",2006,91322646,442480995
"SSF",2007,89614657,453521676
"SSF",2008,97109898,456934227
"SSF",2009,97554445,458012123
"SSF",2010,100834421,467807840
"SSF",2011,91962410,467041150
"SSF",2012,95220971,472412156
"SSF",2013,98921183,473709452
"SSF",2014,102935072,488920550
"SSF",2015,107953816,503318260
"SSF",2016,102106622,469085635
"SSF",2017,100415981,484391404
"SSF",2018,107117014,473906353
"SSF",2019,103655932,477256318
"SSF",2020,102503224,481294088
"SSF",2021,95193090,478470532